genet,sam,treat,bank,pheno,weight_4_15,weight_2_16
2,2C,C,w,s,6.63,7.06
2,2C,C,w,s,8.93,9.4
2,2C,C,w,s,11.13,11.46
3,3C,C,w,r,5.26,5.63
3,3C,C,w,r,7.68,8.54
3,3V,V,w,r,8.64,9.7
3,3V,V,w,r,6.4,7.15
4,4C,C,w,s,13.84,14.89
4,4C,C,w,s,12.52,13.61
5,5V,V,w,r,5.02,5.7
5,5C,C,w,r,8.28,9.01
5,5C,C,w,r,1.69,1.74
6,6C,C,e,s,6.66,7.19
6,6C,C,e,s,4.01,4.7
8,8C,C,e,r,7.41,7.84
8,8V,V,e,r,6.87,7.65
8,8C,C,e,r,7.55,7.81
9,9C,C,e,r,11.1,12.26
9,9C,C,e,r,6.8,7.89
9,9C,C,e,r,10.03,10.93
9,9V,V,e,r,7.33,8.23
9,9V,V,e,r,3.87,4.5
10,10V,V,e,r,5.95,6.58
10,10C,C,e,r,7.77,8.66
10,10C,C,e,r,10.08,10.6
11,11C,C,e,s,5.99,6.85
11,11C,C,e,s,18.45,19.5
11,11C,C,e,s,2.3,3.06
12,12V,V,e,r,6.36,7.01
12,12C,C,e,r,8.05,9.17
13,13C,C,e,s,4.74,5.14
13,13C,C,e,s,10.19,10.19
14,14C,C,e,s,4.38,4.89
14,14C,C,e,s,1.76,2.16
15,15V,V,e,r,7.36,7.98
15,15C,C,e,r,3.57,3.98
15,15C,C,e,r,3.77,4.07
15,15V,V,e,r,5.94,6.19
16,16C,C,w,s,3.71,4.19
16,16C,C,w,s,7.43,7.63
17,17C,C,w,s,4.97,5.51
17,17C,C,w,s,6.33,6.93
19,19C,C,w,s,1.45,1.83
20,20C,C,w,s,3.41,4.19
21,21C,C,w,s,4.35,5.24
21,21C,C,w,s,7.08,7.44
23,23C,C,w,s,13.17,15.15
23,23C,C,w,s,12.19,13.74
24,24C,C,w,s,7.18,7.77
24,24C,C,w,s,5.58,6.08
25,25C,C,w,s,6.13,7.76
25,25C,C,w,s,6.39,7.88
26,26C,C,e,s,2.93,3.23
26,26C,C,e,s,5.41,6.06
27,27C,C,e,r,7.86,8.5
27,27C,C,e,r,4.45,5.01
27,27V,V,e,r,9.72,10.45
27,27V,V,e,r,8.8,9.12